,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Nelfcd.17,1.35E-13,0.38670551,0.25,0.037,2.38E-09,17,Nelfcd
Actn3.17,1.35E-13,0.417180452,0.114,0.009,2.39E-09,17,Actn3
Atp5k.17,1.54E-13,1.11273208,0.773,0.384,2.73E-09,17,Atp5k
Tnik.17,1.59E-13,0.87090166,0.25,0.038,2.81E-09,17,Tnik
Slc43a2.17,1.68E-13,0.43946519,0.136,0.012,2.97E-09,17,Slc43a2
Fn1.17,1.68E-13,-1.806134438,0.659,0.856,2.98E-09,17,Fn1
Serpinf1.17,1.75E-13,-1.58804385,0.341,0.809,3.10E-09,17,Serpinf1
Vim.17,1.77E-13,-1.108010065,0.636,0.908,3.13E-09,17,Vim
Ephb1.17,3.02E-13,0.12033241,0.045,0.001,5.34E-09,17,Ephb1
Fkbp3.17,3.33E-13,1.043545581,0.705,0.293,5.89E-09,17,Fkbp3
Rnf7.17,3.53E-13,1.281897113,0.636,0.238,6.25E-09,17,Rnf7
C1ra.17,3.55E-13,-1.794373374,0.114,0.68,6.27E-09,17,C1ra
Pgp.17,4.05E-13,0.958481655,0.432,0.109,7.17E-09,17,Pgp
Ifitm2.17,4.25E-13,-1.346183207,0.364,0.787,7.52E-09,17,Ifitm2
Col14a1.17,5.85E-13,-1.902597628,0.182,0.702,1.03E-08,17,Col14a1
Atp5md.17,7.20E-13,1.083355598,0.75,0.372,1.27E-08,17,Atp5md
Cct6a.17,7.23E-13,1.011182898,0.727,0.339,1.28E-08,17,Cct6a
Ctsl.17,7.37E-13,-1.173529127,0.568,0.851,1.30E-08,17,Ctsl
Cfl2.17,7.43E-13,1.057247241,0.636,0.246,1.32E-08,17,Cfl2
Gm30054.17,7.87E-13,0.194827908,0.045,0.002,1.39E-08,17,Gm30054
Ncl.17,8.54E-13,0.885610536,0.909,0.724,1.51E-08,17,Ncl
Plekhg5.17,9.88E-13,0.489755313,0.136,0.013,1.75E-08,17,Plekhg5
Cdk2ap1.17,1.02E-12,0.779114744,0.295,0.055,1.80E-08,17,Cdk2ap1
Gm10053.17,1.07E-12,0.1276459,0.068,0.003,1.89E-08,17,Gm10053
Prxl2b.17,1.14E-12,0.583144031,0.227,0.034,2.01E-08,17,Prxl2b
Neurl1a.17,1.25E-12,0.310414707,0.091,0.006,2.22E-08,17,Neurl1a
Npm1.17,1.34E-12,0.913593603,0.886,0.629,2.38E-08,17,Npm1
Mrpl44.17,1.57E-12,0.375457703,0.182,0.023,2.77E-08,17,Mrpl44
Naca.17,1.62E-12,0.946103727,0.864,0.608,2.87E-08,17,Naca
Enah.17,1.72E-12,0.817507746,0.545,0.169,3.04E-08,17,Enah
Rack1.17,1.73E-12,0.842825843,0.909,0.754,3.06E-08,17,Rack1
Sgca.17,1.82E-12,0.0936101,0.068,0.004,3.22E-08,17,Sgca
Ndufab1-ps.17,1.85E-12,0.20543544,0.045,0.002,3.28E-08,17,Ndufab1-ps
Gm40841.17,1.92E-12,0.245002082,0.045,0.002,3.40E-08,17,Gm40841
Hjv.17,1.99E-12,0.182971796,0.045,0.002,3.52E-08,17,Hjv
Map7d1.17,2.05E-12,1.048594781,0.682,0.301,3.63E-08,17,Map7d1
Fbln2.17,2.26E-12,-1.756569636,0.136,0.677,4.00E-08,17,Fbln2
Gm48623.17,2.47E-12,0.351203776,0.068,0.004,4.37E-08,17,Gm48623
Cyc1.17,2.65E-12,1.009264875,0.545,0.184,4.70E-08,17,Cyc1
Ndufa10.17,2.66E-12,0.926005016,0.636,0.237,4.70E-08,17,Ndufa10
Marcks.17,2.66E-12,-1.377664403,0.545,0.82,4.71E-08,17,Marcks
Ahnak.17,2.77E-12,-1.309618302,0.364,0.795,4.90E-08,17,Ahnak
Klf4.17,3.21E-12,-1.533306755,0.432,0.818,5.69E-08,17,Klf4
Atp5a1.17,3.34E-12,1.03317081,0.773,0.451,5.92E-08,17,Atp5a1
Pmaip1.17,3.38E-12,1.0641455,0.182,0.024,5.99E-08,17,Pmaip1
Mrpl15.17,3.74E-12,0.909378946,0.5,0.148,6.63E-08,17,Mrpl15
Lrp1.17,3.87E-12,-1.517720141,0.114,0.664,6.84E-08,17,Lrp1
Fbxl22.17,4.05E-12,0.351408451,0.136,0.014,7.16E-08,17,Fbxl22
Ly6c1.17,4.23E-12,-1.869804253,0.341,0.736,7.48E-08,17,Ly6c1
Alpk3.17,4.39E-12,0.165592996,0.045,0.002,7.76E-08,17,Alpk3
Gpx3.17,4.45E-12,-1.748518279,0.432,0.798,7.88E-08,17,Gpx3
Gm47586.17,4.50E-12,0.117727893,0.045,0.002,7.96E-08,17,Gm47586
Atf3.17,4.52E-12,-1.707737698,0.386,0.797,8.00E-08,17,Atf3
Rabggtb.17,4.59E-12,0.858737942,0.5,0.147,8.13E-08,17,Rabggtb
L2hgdh.17,4.67E-12,0.32660175,0.159,0.018,8.27E-08,17,L2hgdh
Igfbp7.17,5.11E-12,-1.908015266,0.386,0.736,9.05E-08,17,Igfbp7
Rrbp1.17,5.14E-12,-1.146971605,0.477,0.83,9.09E-08,17,Rrbp1
