,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Adam1a.8,0.738588538,0.022882699,0.002,0.001,1,8,Adam1a
Tesmin.8,0.738588538,0.022207401,0.002,0.001,1,8,Tesmin
Rbm3os.8,0.738588538,0.009926414,0.002,0.001,1,8,Rbm3os
Gm15672.8,0.738688066,0.022620179,0.002,0.001,1,8,Gm15672
Pcsk4.8,0.738688066,0.020903001,0.002,0.001,1,8,Pcsk4
Clca3a1.8,0.738688066,0.012501922,0.002,0.001,1,8,Clca3a1
Gm7002.8,0.738688066,0.011878789,0.002,0.001,1,8,Gm7002
Gm14840.8,0.738688066,0.010744291,0.002,0.001,1,8,Gm14840
Gm21986.8,0.738688066,0.009155823,0.002,0.001,1,8,Gm21986
Masp2.8,0.738688066,0.006428734,0.002,0.001,1,8,Masp2
Gm4815.8,0.738688066,0.00525751,0.002,0.001,1,8,Gm4815
Gm26901.8,0.738787598,0.012649511,0.002,0.001,1,8,Gm26901
Gm15808.8,0.738787598,0.012053289,0.002,0.001,1,8,Gm15808
4933412O06Rik.8,0.738787598,0.006861476,0.002,0.001,1,8,4933412O06Rik
Gm34248.8,0.738787598,0.005280555,0.002,0.001,1,8,Gm34248
Adipoq.8,0.738887135,0.014148605,0.002,0.001,1,8,Adipoq
Rpl17-ps7.8,0.738887135,0.004790457,0.002,0.001,1,8,Rpl17-ps7
Gm34655.8,0.738986676,0.002882026,0.002,0.001,1,8,Gm34655
Gm7424.8,0.738986676,0.002495335,0.002,0.001,1,8,Gm7424
Gm42676.8,0.739086222,0.005689957,0.002,0.001,1,8,Gm42676
9530062K07Rik.8,0.739285326,0.001407055,0.002,0.001,1,8,9530062K07Rik
Papolg.8,0.739447453,0.044022462,0.021,0.023,1,8,Papolg
Tmem121.8,0.740037348,0.003849118,0.006,0.005,1,8,Tmem121
Mypn.8,0.740081918,-0.003102552,0.002,0.001,1,8,Mypn
Nhej1.8,0.740663392,0.023167157,0.008,0.009,1,8,Nhej1
Ndufaf4.8,0.740686003,0.221911586,0.091,0.091,1,8,Ndufaf4
Thumpd3.8,0.7411078,0.200603808,0.051,0.05,1,8,Thumpd3
Txnrd1.8,0.741525093,0.358620575,0.235,0.279,1,8,Txnrd1
Gm43328.8,0.742724493,0.024995734,0.006,0.008,1,8,Gm43328
Vash1.8,0.743043143,-0.002778955,0.003,0.004,1,8,Vash1
Gm5881.8,0.743145467,-0.003275304,0.002,0.002,1,8,Gm5881
Chmp4c.8,0.743145467,-0.007213502,0.002,0.002,1,8,Chmp4c
Gm11263.8,0.743651588,-0.003424039,0.002,0.002,1,8,Gm11263
Cenpu.8,0.743793127,0.002394102,0.003,0.004,1,8,Cenpu
Gm12944.8,0.743796215,-0.00329151,0.002,0.002,1,8,Gm12944
Rps2-ps7.8,0.744591822,-0.001097678,0.002,0.002,1,8,Rps2-ps7
Gm8991.8,0.744736507,-0.000737554,0.002,0.002,1,8,Gm8991
Kat2b-ps.8,0.744808853,-0.000130538,0.002,0.002,1,8,Kat2b-ps
Bclaf1.8,0.744820842,0.357915094,0.338,0.402,1,8,Bclaf1
Ung.8,0.744832814,0.030265948,0.01,0.008,1,8,Ung
Gm37070.8,0.744864954,0.003614468,0.003,0.004,1,8,Gm37070
Fbxo44.8,0.744881202,0.001465005,0.002,0.002,1,8,Fbxo44
Lrrc3.8,0.744953552,0.004900424,0.002,0.002,1,8,Lrrc3
Tub.8,0.745025905,0.004868892,0.002,0.002,1,8,Tub
Klhl35.8,0.74509826,0.003424384,0.002,0.002,1,8,Klhl35
Gm43481.8,0.74509826,0.003419711,0.002,0.002,1,8,Gm43481
