,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gk.3,0.907742619,-0.005321919,0.008,0.009,1,3,Gk
Gm12583.3,0.907966031,-0.004101714,0.004,0.004,1,3,Gm12583
Gm29257.3,0.908237768,-0.00379464,0.004,0.004,1,3,Gm29257
Caml.3,0.908320672,-0.053283262,0.098,0.096,1,3,Caml
Pctp.3,0.908365742,-0.010861168,0.01,0.01,1,3,Pctp
Dnajc19-ps.3,0.908474865,-0.008732493,0.005,0.005,1,3,Dnajc19-ps
Rps15a.3,0.908612647,-0.021592153,0.909,0.839,1,3,Rps15a
Taf1a.3,0.908879435,-0.024298982,0.031,0.031,1,3,Taf1a
Myoz2.3,0.909065857,-0.021020241,0.002,0.002,1,3,Myoz2
Upf1.3,0.909235398,-0.060787943,0.065,0.064,1,3,Upf1
Gm11653.3,0.909397623,-0.000872205,0.004,0.003,1,3,Gm11653
Zfp41.3,0.909407946,-0.010667626,0.011,0.011,1,3,Zfp41
Dnaaf5.3,0.909692667,-0.003575548,0.008,0.009,1,3,Dnaaf5
Gm47558.3,0.909742025,-0.00127953,0.004,0.003,1,3,Gm47558
E330013P04Rik.3,0.909946024,-0.023424716,0.022,0.022,1,3,E330013P04Rik
Dimt1.3,0.909950061,-0.028711532,0.046,0.045,1,3,Dimt1
Pcdhgb7.3,0.91014318,-0.003055467,0.002,0.002,1,3,Pcdhgb7
Fdxacb1.3,0.910300411,-0.006211137,0.013,0.012,1,3,Fdxacb1
Six2.3,0.910310118,-0.002685814,0.004,0.004,1,3,Six2
Klhl36.3,0.910424313,-0.015827436,0.018,0.017,1,3,Klhl36
Trim66.3,0.910451017,-0.004112604,0.002,0.002,1,3,Trim66
Zfp40.3,0.910533967,-0.010292162,0.025,0.024,1,3,Zfp40
Tnfsf13os.3,0.91060494,-0.003748259,0.002,0.002,1,3,Tnfsf13os
Gm43138.3,0.910656249,-0.001197758,0.002,0.002,1,3,Gm43138
Cyp4f16.3,0.910862,-0.025162495,0.039,0.038,1,3,Cyp4f16
Gm12892.3,0.910912797,-0.001747997,0.002,0.002,1,3,Gm12892
Gm37648.3,0.911066731,-0.00011255,0.002,0.002,1,3,Gm37648
