,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Frg2f1.9,0.794541875,0.012370923,0.01,0.011,1,9,Frg2f1
Gm9892.9,0.794839734,0.021951627,0.049,0.053,1,9,Gm9892
Ctnnbip1.9,0.794910218,0.115690644,0.072,0.078,1,9,Ctnnbip1
Greb1l.9,0.795113698,0.010233303,0.005,0.006,1,9,Greb1l
Pwwp3a.9,0.795390467,0.018406754,0.077,0.082,1,9,Pwwp3a
Pqlc2.9,0.795487582,0.034717169,0.013,0.015,1,9,Pqlc2
Acsl1.9,0.795982358,0.036286465,0.018,0.017,1,9,Acsl1
Tspan31.9,0.796192476,0.012020558,0.023,0.025,1,9,Tspan31
Scml4.9,0.796247713,0.024054866,0.01,0.009,1,9,Scml4
Zfp933.9,0.796345261,0.004896791,0.013,0.014,1,9,Zfp933
Gm35339.9,0.796424014,0.017633575,0.003,0.003,1,9,Gm35339
Serpinb1a.9,0.796432359,0.079580667,0.138,0.148,1,9,Serpinb1a
Zswim9.9,0.796700761,0.03456701,0.028,0.026,1,9,Zswim9
Ppef2.9,0.796958827,0.009565954,0.003,0.003,1,9,Ppef2
Fdps.9,0.797075073,-0.008515036,0.051,0.054,1,9,Fdps
Setd4.9,0.79733315,0.002451605,0.011,0.013,1,9,Setd4
Scnm1.9,0.797390034,0.061916914,0.087,0.086,1,9,Scnm1
Xpc.9,0.797486182,0.029962662,0.051,0.054,1,9,Xpc
Snw1.9,0.797688567,0.104213829,0.209,0.227,1,9,Snw1
Chrnb2.9,0.797791792,0.022201549,0.011,0.01,1,9,Chrnb2
Gm43682.9,0.798036206,0.014435794,0.01,0.009,1,9,Gm43682
Kdm1b.9,0.798048137,0.019477607,0.025,0.023,1,9,Kdm1b
Tor4a.9,0.798095621,0.001790236,0.003,0.003,1,9,Tor4a
Slc48a1.9,0.798227128,0.114057495,0.092,0.092,1,9,Slc48a1
Gm43112.9,0.798229389,0.001875272,0.003,0.003,1,9,Gm43112
Gm5778.9,0.798231808,0.004237366,0.01,0.011,1,9,Gm5778
Vps13a.9,0.798281326,0.017547053,0.082,0.086,1,9,Vps13a
Rfx2.9,0.798311095,-0.001452009,0.023,0.025,1,9,Rfx2
Tax1bp3.9,0.798325219,0.014401889,0.018,0.02,1,9,Tax1bp3
Gm20302.9,0.798630731,-0.000315825,0.003,0.003,1,9,Gm20302
Sfxn4.9,0.798968025,0.019522546,0.015,0.016,1,9,Sfxn4
Rere.9,0.799361408,0.143013252,0.192,0.201,1,9,Rere
Lgi4.9,0.799394046,-0.006603729,0.031,0.033,1,9,Lgi4
Sephs1.9,0.799438718,0.071293483,0.054,0.058,1,9,Sephs1
Gm42658.9,0.799567401,-0.002887882,0.003,0.003,1,9,Gm42658
Nosip.9,0.799619191,0.073232582,0.076,0.081,1,9,Nosip
Foxn2.9,0.799805242,0.064403562,0.046,0.045,1,9,Foxn2
