,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
D930016D06Rik.1,0.00164109,-0.004707695,0.042,0.03,1,1,D930016D06Rik
Ipp.1,0.001641499,0.002291777,0.011,0.006,1,1,Ipp
Sept4.1,0.001642016,-0.262878328,0.05,0.064,1,1,4-Sep
Nit1.1,0.001644965,-0.043346523,0.06,0.045,1,1,Nit1
3222401L13Rik.1,0.001648159,-0.004696522,0.019,0.012,1,1,3222401L13Rik
Zc3h7b.1,0.001652292,-0.042148775,0.094,0.075,1,1,Zc3h7b
Impa2.1,0.001653678,-0.044422122,0.027,0.018,1,1,Impa2
Tmem132b.1,0.001654775,-0.015283216,0,0.004,1,1,Tmem132b
Bbc3.1,0.001657954,-0.009947685,0.027,0.018,1,1,Bbc3
Pon2.1,0.001667482,-0.056247794,0.131,0.106,1,1,Pon2
Fgfbp3.1,0.00167464,-0.001868027,0.019,0.012,1,1,Fgfbp3
Gm5828.1,0.001676367,0.003185453,0.004,0.002,1,1,Gm5828
Gm9791.1,0.001681449,0.003367134,0.004,0.002,1,1,Gm9791
Vmn2r110.1,0.001688435,0.001176464,0.013,0.007,1,1,Vmn2r110
Rhbdd1.1,0.00168875,-0.022305842,0.032,0.022,1,1,Rhbdd1
Rpsa-ps7.1,0.001691088,0.000919044,0.004,0.002,1,1,Rpsa-ps7
Gm48849.1,0.001691657,0.004002724,0.004,0.002,1,1,Gm48849
Trpt1.1,0.001694834,-0.007261379,0.024,0.016,1,1,Trpt1
Ghdc.1,0.001696041,-0.027509129,0.056,0.042,1,1,Ghdc
Kcnmb4.1,0.001696162,-0.001690256,0.005,0.002,1,1,Kcnmb4
Gm37258.1,0.001700148,0.007313832,0.01,0.005,1,1,Gm37258
Cd151.1,0.001701844,-0.115692127,0.156,0.125,1,1,Cd151
Mapre2.1,0.001716679,-0.098673077,0.19,0.155,1,1,Mapre2
Sp140.1,0.001725699,-0.060752606,0.142,0.115,1,1,Sp140
2010204K13Rik.1,0.001728543,-1.53E-05,0.016,0.009,1,1,2010204K13Rik
Phkg2.1,0.001733513,0.022706535,0.026,0.017,1,1,Phkg2
Fbxo11.1,0.001741255,-0.078630529,0.155,0.126,1,1,Fbxo11
Trmt10b.1,0.001744092,-0.007639597,0.033,0.023,1,1,Trmt10b
Zbtb11os1.1,0.001745167,0.001916792,0.016,0.01,1,1,Zbtb11os1
Smarcal1.1,0.0017492,-0.027835795,0.041,0.03,1,1,Smarcal1
Phykpl.1,0.001751072,-0.04365198,0.064,0.049,1,1,Phykpl
Cog5.1,0.00175516,-0.017608801,0.049,0.036,1,1,Cog5
Lmx1b.1,0.001765398,0.001705692,0.016,0.01,1,1,Lmx1b
Il1rap.1,0.001766357,-0.031586319,0.048,0.035,1,1,Il1rap
Ndc80.1,0.001768915,0.00859647,0.014,0.008,1,1,Ndc80
Mon1b.1,0.001770097,0.002183457,0.025,0.016,1,1,Mon1b
Gm5112.1,0.00177086,0.003361692,0.007,0.003,1,1,Gm5112
Mif4gd.1,0.001770867,-0.036650304,0.064,0.049,1,1,Mif4gd
Pfn2.1,0.001777658,-0.063614744,0.085,0.066,1,1,Pfn2
Anks1b.1,0.001780105,-0.000661746,0.007,0.003,1,1,Anks1b
AL732309.1.1,0.001794287,-0.013482697,0.022,0.014,1,1,AL732309.1
Mapk3.1,0.001796315,-0.05351098,0.099,0.078,1,1,Mapk3
mt-Tp.1,0.00179716,-0.047759416,0.011,0.02,1,1,mt-Tp
Gm11361.1,0.001806291,-0.015277291,0.044,0.032,1,1,Gm11361
Adck2.1,0.00181479,-0.010347285,0.05,0.037,1,1,Adck2
Gfod1.1,0.001820724,0.006799254,0.017,0.01,1,1,Gfod1
Gm6548.1,0.001824135,-0.000696767,0.024,0.016,1,1,Gm6548
Ikzf5.1,0.001827141,-0.040344002,0.079,0.061,1,1,Ikzf5
